,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2007,21.58,21.63,21.68,22.02,22.00,22.24,21.38,22.41,22.44,22.01,22.22,22.31
2008,22.10,22.35,22.11,22.19,22.10,22.33,21.82,22.04,22.52,22.27,22.37,22.40
2009,21.85,22.10,21.86,21.75,21.46,21.61,21.83,21.78,21.98,21.99,21.88,22.11
2010,21.87,21.82,21.67,21.87,21.96,22.05,21.80,21.69,22.51,22.32,22.19,22.34
2011,21.98,22.10,22.22,22.25,22.19,22.17,21.55,21.52,21.84,21.87,21.68,21.81
2012,21.72,21.63,21.39,21.58,21.14,21.42,20.82,20.98,20.94,21.05,21.37,21.21
2013,20.92,20.95,20.81,20.87,20.79,20.84,20.68,21.06,21.30,21.41,21.68,21.57
2014,21.03,21.22,21.51,21.39,21.37,21.45,21.20,21.36,21.35,21.42,21.66,21.54
2015,21.30,21.40,21.43,21.48,21.50,21.63,21.42,21.40,21.70,21.42,21.42,21.70
2016,21.33,21.50,21.51,21.32,21.48,21.56,21.72,21.76,21.62,21.68,21.63,21.63
